unnamed:_0,unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19
,4-7 weeks in EH,393,501,462,426,384,294,246,198,150,147,99,90,72,81,96,120,111,108
,8-12 weeks in EH,399,321,402,399,318,291,225,171,156,105,81,63,48,45,54,66,69,63
,3-6 months in EH,651,612,558,576,531,480,345,216,192,177,150,99,75,60,57,51,72,72
,6-12 months in EH,558,546,498,447,399,312,276,234,210,150,111,93,90,66,51,36,30,21
,12-24 months in EH,312,300,252,246,219,201,153,126,117,102,72,48,42,45,45,39,33,30
,24+ months in EH,141,141,129,120,129,114,96,78,72,63,60,57,48,36,30,24,21,21
,Primary recipient's total response ethnicity,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24,Oct 24,Nov 24,Dec 24,Jan 25,Feb 25,Mar 25,Apr 25,May 25,Jun 25
,European,927,927,837,807,732,672,528,441,375,300,252,198,192,189,180,174,195,186
,Māori,1626,1605,1491,1449,1329,1137,921,735,603,507,420,282,264,261,276,267,264,258
,Pacific Peoples,417,432,381,369,312,264,174,114,96,90,54,45,51,45,39,45,45,39
,Asian,60,69,63,51,48,33,42,18,12,15,9,9,12,9,9,9,9,18
,Middle Eastern/Latin American/African,66,63,48,45,48,39,36,24,24,15,9,9,9,3,6,6,6,9
,Other ethnicity,78,69,63,57,57,45,45,33,27,21,12,6,6,9,6,6,9,9
,Ethnicity not specified,162,168,150,138,120,102,78,51,51,42,33,24,21,18,21,27,21,24
,Primary recipient's age group,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24,Oct 24,Nov 24,Dec 24,Jan 25,Feb 25,Mar 25,Apr 25,May 25,Jun 25
,16-17 years old,63,75,72,60,63,48,45,48,36,30,27,15,9,15,6,12,15,15
,18-19 years old,129,132,111,114,90,78,60,36,30,24,18,12,15,15,18,18,9,9
,20-24 years old,309,315,309,294,240,216,153,120,105,93,75,45,39,48,39,51,45,33
,25-29 years old,390,432,369,354,318,255,177,135,105,81,72,42,42,45,51,42,57,54
,30-34 years old,462,462,420,390,378,321,261,189,153,123,102,72,69,66,60,72,63,69
,35-39 years old,423,417,378,387,336,291,237,180,156,132,99,69,75,60,66,66,75,69
,40-44 years old,309,282,276,261,219,186,150,123,108,93,66,57,63,69,72,60,60,69
,45-49 years old,240,225,204,195,168,150,123,105,81,66,54,42,36,36,33,27,33,36
,50-54 years old,180,180,156,162,168,147,123,90,87,75,72,54,39,36,33,33,27,39
,55-59 years old,150,123,108,117,108,99,78,63,63,48,39,30,24,21,24,24,30,27
,60-64 years old,105,114,111,105,90,81,63,57,51,39,30,24,30,18,21,24,18,18
,65+ years old,123,114,111,105,102,84,81,66,63,51,36,33,30,27,30,21,21,27
,Primary recipient's MSD region,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24,Oct 24,Nov 24,Dec 24,Jan 25,Feb 25,Mar 25,Apr 25,May 25,Jun 25
,Northland,21,21,33,21,21,15,15,12,9,9,9,3,6,6,6,3,6,3
,Auckland Metro,735,741,624,597,483,354,234,138,111,99,60,36,45,30,42,45,36,51
,Waikato,534,531,510,513,501,474,369,306,249,201,165,123,117,123,126,126,135,129
,Taranaki,42,42,42,48,48,39,36,27,24,24,21,18,18,18,18,21,30,36
,Bay of Plenty,234,204,180,168,147,105,84,72,57,60,48,33,27,24,27,30,39,45
,East Coast,234,234,249,216,204,192,159,147,114,93,75,36,36,42,42,36,21,15
,Central,108,105,102,102,114,108,81,51,39,24,24,21,18,12,12,9,12,12
,Wellington,381,399,360,363,321,291,267,210,216,183,135,123,102,75,75,63,57,45
,West Coast-Tasman,87,81,69,84,81,81,75,69,78,60,48,36,45,51,39,39,45,42
,Canterbury,324,318,285,258,213,183,129,90,78,63,69,45,42,51,51,54,51,54
,Southern,30,24,21,24,24,24,18,15,9,6,0,0,6,3,3,3,6,3
,Other region,156,180,150,135,126,96,75,69,57,42,39,21,18,27,24,21,18,21
Context Notes,,,,,,,,,,,,,,,,,,,
"All information in this data file has been randomly rounded to base 3, data found here is rounded independently from other products produced by MSD.",,,,,,,,,,,,,,,,,,,
"From 12 February 2021, MSD started applying a range of new confidentiality procedures to public data releases. These procedures will continue to protect client information,",,,,,,,,,,,,,,,,,,,
while making more data available. To find out how we have changed the way we work with client information visit:,,,,,,,,,,,,,,,,,,,
https://www.msd.govt.nz/about-msd-and-our-work/tools/how-we-keep-data-private.html,,,,,,,,,,,,,,,,,,,
"In a limited number of circumstances, low numbers may potentially lead to individuals being identified, regardless of random rounding. Due to these privacy concerns,",,,,,,,,,,,,,,,,,,,
numbers for some groups of people may be suppressed or aggregated. Secondary suppression rules have also been applied when required. Suppressed numbers have,,,,,,,,,,,,,,,,,,,
been replaced by an 'S',,,,,,,,,,,,,,,,,,,
Emergency Housing assistance payments are granted as Emergency Housing Grants (EHGs). A client can have more than one grant in the time period.,,,,,,,,,,,,,,,,,,,
The total amount granted for an EHG may not be the same as the amount spent.,,,,,,,,,,,,,,,,,,,
This consecutive weeks calculation is based on the clients most recent grant within a month. They may have had multiple grants in a month.,,,,,,,,,,,,,,,,,,,
A clients total stay may cross more than one quarter. The length of stay at the time of their last grant in each month is what is used to calculate the average.,,,,,,,,,,,,,,,,,,,
Consecutive weeks in Emergency Housing are calculated based on the check in and check out dates for which EHGs have been granted.,,,,,,,,,,,,,,,,,,,
The consecutive weeks calculation is operational and as such can change slightly over time.,,,,,,,,,,,,,,,,,,,
One registered supplier may provide accommodation across multiple premises. These premises may be in different locations or operating trading names,,,,,,,,,,,,,,,,,,,
but are receiving payment through a single supplier record.,,,,,,,,,,,,,,,,,,,
MSD region is based on the Work and Income region where the recommending case manager for the application was based at the time of the grant.,,,,,,,,,,,,,,,,,,,
This may differ to the client's residential address or the location of the EH supplier.,,,,,,,,,,,,,,,,,,,
Household composition is based on the declared adults and children staying in Emergency Housing at the end of the month and may not be reflective,,,,,,,,,,,,,,,,,,,
of their actual family size.,,,,,,,,,,,,,,,,,,,
Details of the individual children attached to each EHG are not recorded and as such we are unable to count the number of unique children in Emergency,,,,,,,,,,,,,,,,,,,
Housing across a period if their caregivers have had more than one grant in the period.,,,,,,,,,,,,,,,,,,,
"From December 2021, we have introduced a new reporting approach called 'total response'. Making this change means we recognise all aspects of someone's ethnicity",,,,,,,,,,,,,,,,,,,
"and allows us to represent the full diversity of communities, whānau, and people in Aotearoa. This reflects our clients more accurately, aligns our approach with",,,,,,,,,,,,,,,,,,,
"Statistics NZ's reporting, and reflects best practice.",,,,,,,,,,,,,,,,,,,
The total response ethnicity percentages are calculated by dividing the number of people who identify with each ethnic group by the total unique number of people with a reported ethnicity,,,,,,,,,,,,,,,,,,,
"(this excludes people who have not specified an ethnicity). Total response ethnicity means people can appear more than once in our reporting, so ethnic group totals will add to more than 100 percent.",,,,,,,,,,,,,,,,,,,
"The number of people receiving an EHG each month has not changed, but the way we represent them has.",,,,,,,,,,,,,,,,,,,
"Ethnicity is about people's identity and sense of belonging. Ethnicity measures cultural affiliation, rather than race, ancestry, nationality, or citizenship. Ethnicity is self-perceived and people",,,,,,,,,,,,,,,,,,,
"can identify with more than one ethnic group. Previously, we reported ethnicity using an approach called 'prioritised ethnicity'. Prioritised ethnicity meant that we allocated people to a single ethnic",,,,,,,,,,,,,,,,,,,
"group in an order of priority. The priority previously used by MSD was Māori, Pacific Peoples, Other, and NZ European. For more information please see:",,,,,,,,,,,,,,,,,,,
https://www.msd.govt.nz/about-msd-and-our-work/tools/how-we-report-ethnicity.html,,,,,,,,,,,,,,,,,,,
Age of primary recipient is taken at the last grant in the month. It may not reflect the clients age throughout the month.,,,,,,,,,,,,,,,,,,,
