unnamed:_0,unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19
,1 Bedroom,14217,14328,14127,13512,13011,12774,12774,12762,12648,12519,12378,12159,12183,12096,11649,11589,11811,11850
,2 Bedrooms,9081,9030,9000,8673,8340,8064,7842,7719,7590,7311,7044,6831,6771,6648,6465,6351,6276,6270
,3 Bedrooms,4677,4794,4722,4566,4419,4374,4272,4215,4056,3756,3690,3636,3636,3627,3531,3477,3441,3420
,4 Bedrooms,2049,2049,2136,2085,2061,1998,1983,1977,1983,1953,1860,1758,1761,1755,1701,1680,1620,1656
,5+ Bedrooms,696,708,696,678,684,651,657,639,633,591,567,546,543,546,540,537,525,525
,Total response ethnicity of main applicant,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24,Oct 24,Nov 24,Dec 24,Jan 25,Feb 25,Mar 25,Apr 25,May 25,Jun 25
,European,10923,10962,10782,10389,9936,9699,9633,9525,9384,9186,8976,8808,8751,8646,8400,8379,8433,8430
,Māori,15039,15066,14907,14238,13704,13347,13098,12942,12681,12267,11955,11628,11610,11478,10941,10707,10674,10635
,Pacific Peoples,5049,5124,5145,4977,4875,4758,4686,4692,4584,4443,4305,4191,4173,4176,4005,3987,3987,3996
,Asian,1314,1350,1362,1353,1332,1311,1305,1326,1326,1278,1239,1236,1260,1269,1257,1254,1275,1281
,Middle Eastern/Latin American/African,864,867,882,855,861,867,861,867,855,828,828,816,825,816,822,819,834,858
,Other ethnicity,864,879,882,873,858,849,852,870,861,831,801,792,795,780,771,765,765,795
,Ethnicity not specified,1245,1272,1269,1236,1215,1191,1197,1194,1224,1167,1164,1125,1149,1170,1155,1143,1158,1194
,Age of main applicant,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24,Oct 24,Nov 24,Dec 24,Jan 25,Feb 25,Mar 25,Apr 25,May 25,Jun 25
,Under 20 years old,618,624,615,570,564,543,540,504,531,534,510,504,492,477,450,435,426,432
,20-29 years old,6429,6495,6402,6186,5931,5742,5583,5481,5325,5079,4926,4749,4713,4662,4461,4374,4347,4332
,30-39 years old,8271,8313,8307,7968,7710,7479,7353,7332,7221,6987,6762,6558,6576,6468,6213,6144,6096,6060
,40-49 years old,5511,5547,5451,5202,4953,4788,4770,4737,4680,4512,4458,4365,4368,4377,4218,4146,4170,4218
,50-59 years old,4596,4575,4530,4353,4194,4158,4134,4119,4050,3966,3897,3804,3810,3750,3618,3594,3648,3678
,60-69 years old,3399,3438,3450,3363,3318,3297,3285,3285,3258,3201,3141,3126,3138,3111,3081,3078,3108,3120
,70+ years old,1893,1917,1926,1872,1842,1854,1860,1851,1848,1851,1845,1830,1794,1833,1842,1863,1884,1884
,MSD region,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24,Oct 24,Nov 24,Dec 24,Jan 25,Feb 25,Mar 25,Apr 25,May 25,Jun 25
,Auckland Metro,10758,10806,10824,10518,10230,10026,9927,9891,9711,9273,9000,8775,8874,8919,8712,8754,8799,8955
,Bay of Plenty,3066,3087,3060,2892,2757,2709,2643,2646,2577,2517,2451,2403,2409,2385,2346,2298,2304,2295
,Canterbury,2976,2919,2820,2691,2520,2391,2388,2397,2394,2352,2355,2301,2262,2256,2220,2220,2265,2256
,Central,1551,1554,1512,1443,1386,1365,1374,1398,1380,1389,1353,1314,1296,1251,1191,1152,1155,1146
,East Coast,2535,2541,2502,2349,2223,2163,2127,2100,2064,2064,2064,2016,1995,1965,1839,1734,1713,1671
,West Coast-Tasman,1002,1029,1026,981,966,975,984,978,963,939,933,927,906,894,870,855,870,882
,Northland,1392,1392,1377,1362,1365,1335,1296,1263,1239,1242,1242,1236,1197,1188,1155,1176,1149,1140
,Other,6,6,3,6,0,3,3,3,3,6,3,3,3,6,3,3,6,3
,Southern,1191,1221,1188,1149,1104,1044,1032,1044,1038,996,966,969,996,939,912,891,915,930
,Taranaki,1230,1266,1266,1221,1155,1128,1092,1047,1053,1029,1005,984,987,966,927,906,915,912
,Waikato,2490,2484,2469,2376,2325,2238,2130,2055,1989,1938,1845,1788,1773,1743,1680,1632,1617,1593
,Wellington,2523,2601,2625,2526,2481,2493,2526,2487,2496,2385,2322,2217,2190,2157,2031,2010,1974,1941
,Priority on the Social Housing Register,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24,Oct 24,Nov 24,Dec 24,Jan 25,Feb 25,Mar 25,Apr 25,May 25,Jun 25
,A20,711,774,828,819,810,783,750,738,741,729,699,654,636,600,579,573,537,540
,A19,1743,1767,1842,1788,1755,1725,1665,1644,1590,1503,1449,1359,1323,1275,1206,1158,1131,1122
,A18,3120,3174,3210,3066,2961,2859,2805,2703,2649,2574,2451,2271,2205,2172,2100,2058,2034,1968
,A17,4032,4122,4143,4038,3897,3747,3612,3567,3414,3264,3162,3042,3048,3009,2880,2823,2787,2718
,A16,4179,4200,4086,3909,3750,3684,3633,3549,3489,3426,3327,3210,3279,3237,3075,3051,3045,3120
,A15,4122,4137,4065,3897,3783,3729,3672,3666,3579,3453,3381,3285,3273,3291,3147,3114,3180,3141
,A14,3633,3633,3552,3411,3255,3171,3159,3156,3132,3078,3033,3045,3030,3003,2952,2907,2901,2928
,A13,2835,2796,2787,2757,2637,2544,2607,2598,2619,2562,2544,2520,2490,2463,2424,2349,2373,2418
,A12,2148,2145,2094,1965,1890,1863,1905,1911,1902,1797,1803,1779,1806,1797,1761,1752,1788,1830
,A11,1182,1176,1146,1074,1086,1092,1086,1092,1074,1044,1029,1056,1056,1065,1053,1095,1113,1131
,A10,531,522,513,495,477,477,471,501,513,507,507,522,540,531,537,525,552,576
,A9,189,204,210,195,180,174,183,189,177,171,174,174,174,168,165,180,189,186
,B15,15,12,21,21,21,12,18,15,15,12,15,15,18,21,21,21,21,15
,B14,60,60,54,54,57,57,54,51,57,57,54,48,51,54,48,51,54,54
,B13,201,210,201,201,186,183,171,168,165,159,156,162,159,171,174,168,174,165
,B12,369,360,351,327,312,327,318,318,330,330,330,333,336,330,321,333,327,336
,B11,501,504,507,480,483,465,459,477,483,489,456,477,483,492,483,486,474,471
,B10,588,561,546,516,501,486,462,474,486,459,453,468,477,486,468,480,483,489
,B9,396,387,372,354,330,333,339,339,342,372,390,372,357,351,339,366,366,363
,B8,165,162,153,144,144,147,156,153,150,135,138,144,156,156,150,138,150,159
Context Notes,,,,,,,,,,,,,,,,,,,
"All information in this data file has been randomly rounded to base 3, data found here is rounded independently from other products produced by MSD.",,,,,,,,,,,,,,,,,,,
"From 12 February 2021, MSD started applying a range of new confidentiality procedures to social data releases. These procedures will continue to protect client information,",,,,,,,,,,,,,,,,,,,
while making more data available. To find out how we have changed the way we work with client information visit:,,,,,,,,,,,,,,,,,,,
https://www.msd.govt.nz/about-msd-and-our-work/tools/how-we-keep-data-private.html,,,,,,,,,,,,,,,,,,,
"In a limited number of circumstances, low numbers may potentially lead to individuals being identified, regardless of random rounding. Due to these privacy concerns,",,,,,,,,,,,,,,,,,,,
numbers for some groups of people may be suppressed or aggregated. Secondary suppression rules have also been applied when required. Suppressed numbers have,,,,,,,,,,,,,,,,,,,
been replaced by an 'S'.,,,,,,,,,,,,,,,,,,,
The Housing Register provides the number of applicants assessed as eligible for social housing who are ready to be matched to a suitable property.,,,,,,,,,,,,,,,,,,,
"People who already live in social housing, but have applied and are eligible to transfer to another property are placed on the Transfer Register.",,,,,,,,,,,,,,,,,,,
Register exits for other reasons includes historical C and D priority applications who have exited because their priority has decreased.,,,,,,,,,,,,,,,,,,,
The number of bedrooms the applicant is requiring based on the assessment of their housing application includes the needs of the people that will be living in the same house as the applicant.,,,,,,,,,,,,,,,,,,,
"From December 2021, we have introduced a new reporting approach called 'total response'. Making this change means we recognise all aspects of someone's ethnicity",,,,,,,,,,,,,,,,,,,
"and allows us to represent the full diversity of communities, whānau, and people in Aotearoa. This reflects our clients more accurately, aligns our approach with",,,,,,,,,,,,,,,,,,,
"Statistics NZ's reporting, and reflects best practice.",,,,,,,,,,,,,,,,,,,
The total response ethnicity percentages are calculated by dividing the number of people who identify with each ethnic group by the total unique number of people with a reported ethnicity,,,,,,,,,,,,,,,,,,,
"(this excludes people who have not specified an ethnicity). Total response ethnicity means people can appear more than once in our reporting, so ethnic group totals will add to more than 100 percent.",,,,,,,,,,,,,,,,,,,
"Ethnicity is about people's identity and sense of belonging. Ethnicity measures cultural affiliation, rather than race, ancestry, nationality, or citizenship. Ethnicity is self-perceived and people",,,,,,,,,,,,,,,,,,,
"can identify with more than one ethnic group. Previously, we reported ethnicity using an approach called 'prioritised ethnicity'. Prioritised ethnicity meant that we allocated people to a single ethnic",,,,,,,,,,,,,,,,,,,
"group in an order of priority. The priority previously used by MSD was Māori, Pacific Peoples, Other, and NZ European. For more information please see:",,,,,,,,,,,,,,,,,,,
https://www.msd.govt.nz/about-msd-and-our-work/tools/how-we-report-ethnicity.html,,,,,,,,,,,,,,,,,,,
Information on the SAS criteria used to determine eligibility and priority can be found at:,,,,,,,,,,,,,,,,,,,
www.workandincome.govt.nz/map/social-housing/assessmentof-eligibility/index.html,,,,,,,,,,,,,,,,,,,
Priority A refers to applicants who are considered at risk and includes households with a severe and persistent housing need that must be addressed immediately.,,,,,,,,,,,,,,,,,,,
Priority B refers to applicants who have a serious housing need and includes households with a significant and persistent need.,,,,,,,,,,,,,,,,,,,
